region,city,night_market
北部,臺北市,士林夜市
北部,臺北市,華西街夜市
北部,臺北市,艋舺夜市
北部,臺北市,饒河街觀光夜市
北部,臺北市,公館夜市
北部,臺北市,南機場觀光夜市
北部,臺北市,師大夜市
北部,臺北市,臨江街觀光夜市
北部,臺北市,寧夏夜市
北部,臺北市,大龍街夜市
北部,臺北市,延三夜市
北部,臺北市,景美夜市
北部,臺北市,雙城街夜市
北部,臺北市,遼寧街夜市
北部,臺北市,石牌夜市
北部,臺北市,林口街夜市
北部,臺北市,737夜市
北部,臺北市,社子夜市
北部,新北市,四腳亭吉安宮夜市
北部,新北市,樂華夜市
北部,新北市,湳雅夜市
北部,新北市,裕民夜市
北部,新北市,三和夜市
北部,新北市,中和興南夜市
北部,新北市,樹林興仁花園夜市
北部,新北市,樹林夜市
北部,新北市,新莊廟街夜市
北部,新北市,西盛夜市
北部,新北市,蘆洲廟口夜市
北部,新北市,淡水英專夜市
北部,新北市,淡水沙崙夜市
北部,新北市,集應廟夜市
北部,新北市,三芝夜市
北部,新北市,鶯歌夜市
北部,新北市,鶯歌龍鳳夜市
北部,新北市,林口夜市
北部,新北市,八里廖添丁廟夜市
北部,新北市,西雲路夜市
北部,新北市,御史路夜市
北部,新北市,金山夜市
北部,新北市,深坑慈聖夜市
北部,新北市,五股工業區夜市
北部,新北市,汐止觀光夜市
北部,新北市,汐止弘道街夜市
北部,新北市,汐止樟樹夜市
北部,新北市,長興街福德祠夜市
北部,新北市,貢寮澳底夜市
北部,基隆市,基隆廟口夜市
北部,基隆市,八斗子夜市
北部,基隆市,七堵夜市
北部,桃園市,南崁五福夜市
北部,桃園市,大竹夜市
北部,桃園市,桃園觀光夜市
北部,桃園市,中壢觀光夜市
北部,桃園市,中原夜市
北部,桃園市,興仁花園夜市
北部,桃園市,楊梅觀光夜市
北部,桃園市,埔心後站夜市
北部,桃園市,富岡夜市
北部,桃園市,菓林夜市
北部,桃園市,大園夜市
北部,桃園市,大溪夜市
北部,桃園市,新屋夜市
北部,桃園市,草漯夜市
北部,桃園市,新坡夜市
北部,桃園市,觀音夜市
北部,桃園市,復興夜市
北部,桃園市,山腳夜市
北部,新竹市,城隍廟夜市
北部,新竹市,清大夜市
北部,新竹市,樹林頭夜市
北部,新竹市,後站夜市
北部,新竹市,青草湖夜市
北部,新竹市,內湖夜市
北部,新竹市,中正台夜市
北部,新竹縣,竹北夜市
北部,新竹縣,竹東沿河街夜市
北部,新竹縣,竹東二重埔夜市
北部,新竹縣,湖口夜市
北部,新竹縣,關西夜市
北部,新竹縣,新庄子夜市
北部,新竹縣,新豐夜市
北部,新竹縣,新埔夜市
北部,新竹縣,北埔夜市
北部,新竹縣,竹中夜市
中部,臺中市,逢甲夜市
中部,臺中市,一中商圈
中部,臺中市,中華路夜市
中部,臺中市,忠孝路夜市
中部,臺中市,東海別墅夜市
中部,臺中市,霧峰樹仁商圈
中部,臺中市,豐原廟東夜市
中部,臺中市,太平臺中小鎮夜市
中部,臺中市,四張犁夜市
中部,臺中市,捷運總站夜市
中部,臺中市,潭子勝利夜市
中部,臺中市,潭子頭家夜市
中部,臺中市,大雅(雅潭)夜市
中部,臺中市,葫蘆墩觀光夜市
中部,臺中市,SOGO停車場夜市
中部,臺中市,八方國際觀光夜市
中部,臺中市,神岡夜市（北莊星期二夜市）
中部,臺中市,后里夜市
中部,臺中市,外埔夜市
中部,臺中市,東勢夜市
中部,臺中市,旱溪夜市
中部,臺中市,太平東平夜市
中部,臺中市,大慶觀光夜市
中部,臺中市,大里勝利大夜市
中部,臺中市,大里塗城夜市
中部,臺中市,大里文化街夜市
中部,臺中市,亞洲大學夜市
中部,臺中市,霧峰四德路夜市
中部,臺中市,霧峰德泰街夜市
中部,臺中市,大肚夜市
中部,臺中市,大肚山龍井自強夜市
中部,臺中市,龍井茄投夜市
中部,臺中市,龍井龍津夜市
中部,臺中市,福順宮夜市
中部,臺中市,靜宜夜市
中部,臺中市,梧棲夜市
中部,臺中市,梧棲中港觀光夜市
中部,臺中市,清水五權夜市
中部,臺中市,沙鹿鹿峰夜市
中部,臺中市,大甲夜市
中部,臺中市,大甲蔣公路夜市
中部,彰化縣,彰化中央陸橋夜市
中部,彰化縣,彰化精誠夜市
中部,彰化縣,彰化冠天夜市
中部,彰化縣,和美東發夜市
中部,彰化縣,和美美寮路夜市
中部,彰化縣,和美仁愛夜市
中部,彰化縣,鹿港鹿和夜市
中部,彰化縣,鹿港頂番夜市
中部,彰化縣,鹿港草港夜市
中部,彰化縣,福興夜市
中部,彰化縣,線西夜市
中部,彰化縣,伸港水尾夜市
中部,彰化縣,伸港福安宮夜市
中部,彰化縣,秀水夜市
中部,彰化縣,芬園社口夜市
中部,彰化縣,員林龍燈夜市
中部,彰化縣,員林大圓林觀光夜市
中部,彰化縣,員林林厝夜市
中部,彰化縣,社頭芭樂市場夜市
中部,彰化縣,永靖觀光夜市
中部,彰化縣,大村夜市
中部,彰化縣,花壇夜市
中部,彰化縣,田中夜市
中部,彰化縣,田中鐵支路觀光夜市
中部,彰化縣,田中高鐵夜市
中部,彰化縣,二水夜市
中部,彰化縣,田尾夜市
中部,彰化縣,田尾海豐崙夜市
中部,彰化縣,埤頭夜市
中部,彰化縣,週四(埤頭新增周六場)
中部,彰化縣,埤頭星期四.六夜市
中部,彰化縣,北斗觀光夜市
中部,彰化縣,溪州夜市
中部,彰化縣,二林王子夜市
中部,彰化縣,二林金仔角觀光夜市
中部,彰化縣,埔鹽夜市
中部,彰化縣,埔鹽新水夜市
中部,彰化縣,埔鹽天盛夜市
中部,彰化縣,溪湖夜市
中部,彰化縣,溪湖忠溪夜市
中部,彰化縣,溪湖大公路夜市
中部,彰化縣,芳苑草湖夜市
中部,彰化縣,芳苑王功夜市
中部,彰化縣,竹塘夜市
中部,彰化縣,大城夜市
中部,彰化縣,埤頭星期三夜市
中部,南投縣,草鞋墩人文觀光夜市
中部,南投縣,週日
中部,南投縣,國姓夜市
中部,南投縣,南投市家樂福（三和）夜市
中部,南投縣,南崗夜市
中部,南投縣,中興新村內轆夜市
中部,南投縣,南投祖祠路夜市
中部,南投縣,中寮夜市
中部,南投縣,松柏嶺夜市
中部,南投縣,名間夜市
中部,南投縣,鹿谷夜市
中部,南投縣,竹山夜市
中部,南投縣,集集夜市
中部,南投縣,水裡夜市
中部,南投縣,魚池夜市
中部,南投縣,埔里八德夜市
中部,南投縣,埔里宏仁夜市
中部,南投縣,埔里城觀光夜市
中部,南投縣,埔里樹人夜市
中部,雲林縣,斗六觀光夜市
中部,雲林縣,斗六成功夜市
中部,雲林縣,斗六石榴班夜市
